Coal,gas,Total_source,Total_source_corrected_population,Av Temp,Max Temp,Min Temp
7720.445,120393.26699999999,128128.421,0.004473968,60.3,73.2,47.4
7982.673000000001,149953.598,157949.44,0.005509175,47.8,59.7,35.9
7315.906999999999,163398.55800000002,170733.212,0.00594851,43.9,57.8,29.9
4914.856,141260.87099999998,146184.583,0.005087522,52.3,64.7,40.0
4236.214,145257.894,149503.716,0.005197228,61.7,75.0,48.4
4793.495,136464.138,141279.02,0.004905835999999999,63.0,77.8,48.2
6124.767,189187.177,195329.322,0.006775151,78.0,90.9,65.2
7057.297,201589.135,208664.049,0.007229625999999999,83.9,95.8,72.0
7560.935,251921.47199999998,259493.02,0.00898072,84.5,96.9,72.0
7655.999,231724.319,239389.432,0.008275766,83.1,95.0,71.1
7042.590999999999,191726.775,198778.924,0.00686423,76.3,85.7,66.9
6476.976,165499.40099999998,171984.672,0.005932395,65.4,74.6,56.2
6356.268,145459.215,151830.625,0.005231414,52.0,63.9,40.1
6363.717,152711.229,159084.876,0.005475307,48.3,59.2,37.4
5854.4580000000005,164538.439,170403.11399999997,0.00585838,47.2,58.8,35.6
