year,month,Coal,gas,petroleum,Av Temp,Max Temp,Min Temp
2016,Apr,4599.417,153494.495,19.522,66.1,78.6,53.5
2016,May,6435.346,169867.551,28.189,71.6,82.8,60.4
2016,Jun,9042.583,190157.045,11.652,80.1,91.2,68.9
2016,Jul,9583.902,212148.523,9.797,85.4,97.4,73.4
2016,Aug,9252.584,215519.692,14.753,81.5,92.2,70.9
2016,Sep,8901.677,182725.244,12.959,77.6,88.4,66.7
2016,Oct,8376.552,147810.532,10.937,70.9,84,57.7
2016,Nov,6592.635,131583.915,14.499,61,72.5,49.6
2016,Dec,8728.853,126416.047,19.01,49.6,60.2,38.9
2017,Jan,8105.948,123126.984,10.064,50.8,63,38.6
2017,Feb,5971.604,109181.755,12.256,58.4,72,44.8
2017,Mar,5809.999,128899.411,14.288,63.6,76.4,50.7
2017,Apr,6624.876,129717.583,12.022,67.1,80.1,54.2
2017,May,7769.653,145610.379,19.317,72,85,59
2017,Jun,8744.196,185166.183,9.72,80.6,92.3,68.8
2017,Jul,9539.478,226095.756,13.813,83.6,95.5,71.6
2017,Aug,9278.334,207543.187,17.505,80.6,91.2,70.1
2017,Sep,8495.168,156749.059,10.621,76.5,88.4,64.6
2017,Oct,7445.18,141429.63,12.598,66.5,80,53.1
2017,Nov,7720.445,120393.267,14.709,60.3,73.2,47.4
2017,Dec,7982.673,149953.598,13.169,47.8,59.7,35.9
2018,Jan,7315.907,163398.558,18.747,43.9,57.8,29.9
2018,Feb,4914.856,141260.871,8.856,52.3,64.7,40
2018,Mar,4236.214,145257.894,9.608,61.7,75,48.4
2018,Apr,4793.495,136464.138,21.387,63,77.8,48.2
2018,May,6124.767,189187.177,17.378,78,90.9,65.2
2018,Jun,7057.297,201589.135,17.617,83.9,95.8,72
2018,Jul,7560.935,251921.472,10.613,84.5,96.9,72
2018,Aug,7655.999,231724.319,9.114,83.1,95,71.1
2018,Sep,7042.591,191726.775,9.558,76.3,85.7,66.9
2018,Oct,6476.976,165499.401,8.295,65.4,74.6,56.2
2018,Nov,6356.268,145459.215,15.142,52,63.9,40.1
2018,Dec,6363.717,152711.229,9.93,48.3,59.2,37.4
2019,Jan,5854.458,164538.439,10.217,47.2,58.8,35.6
